crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year
16282039,24,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,whi - white,kawasaki,ninja zx,1981
16286410,64,98 - other,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flt,2016
16286853,40,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xl883,2006
16288282,30,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,harley-davidson,fld,2016
16289809,61,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,honda,gl1800,201
16295484,50,w - white,1 - male,0,k - fatal injury,mc - motorcycle,gld - gold,honda,cbr600,1996
16281579,23,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,suzuki,gs750,2007
16284348,64,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,honda,gl1800,2005
16285360,40,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,1998
16285572,17,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr600,2007
16286312,54,w - white,1 - male,1,n - not injured,mc - motorcycle,whi - white,harley-davidson,fld,2006
16286871,63,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhr,2017
16287714,42,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,kawasaki,ninja zx,2015
16290472,26,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,yel - yellow,suzuki,gsx,2007
16292558,23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr600,2001
16294777,29,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2008
16297909,30,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,bmw,s 1000,2017
16282849,25,w - white,2 - female,1,n - not injured,mc - motorcycle,blk - black,kawasaki,ex300,2017
16285185,63,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2004
16286125,40,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,harley-davidson,flht,2014
16292760,60,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,kawasaki,kl600,2012
16296274,24,w - white,1 - male,1,n - not injured,mc - motorcycle,whi - white,kawasaki,1600,2005
