crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
17814806,15,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),polaris,sport (polaris),2019.0
17815016,40,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),yamaha,xvs1100 (yamaha),2008.0
17816841,27,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),yamaha,unknown (yamaha),2009.0
17820220,65,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,flhr (harley-davidson),1995.0
17822984,25,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2008.0
17811510,17,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,wr426 (yamaha),2001.0
17811511,60,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2013.0
17811661,57,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,unknown (yamaha),2019.0
17811679,61,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,flhc (harley-davidson),2008.0
17815426,23,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,unknown (yamaha),2007.0
17822637,44,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,5 - defective or no headlamps,yamaha,ttr125 (yamaha),2008.0
17814660,63,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhx (harley-davidson),2012.0
