,crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year,vehicle_make_country,injury_binary,safety_score
11898,17094343,57,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhc,2019,usa,1,0.894174051507873
11899,17095719,34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,fld,2005,usa,1,0.9577668697282676
11900,17096167,55,w - white,1 - male,1,n - not injured,mc - motorcycle,mar - maroon,harley-davidson,flsti,2006,usa,0,0.9146040907470718
11901,17098208,57,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,honda,vt1300,2005,japan,1,0.9736087455748836
11902,17098219,50,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,big dog,pitbull,2008,Other,1,0.91653708371291
11903,17099864,50,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,suzuki,gsx1300,2007,japan,1,0.9788791869988814
11904,17103979,17,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,yamaha,yzfr1,2007,japan,1,0.8952224261933658
11905,17092131,38,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,yamaha,xv1700,2005,japan,1,0.9630823571262344
11906,17092181,55,w - white,1 - male,0,k - fatal injury,mc - motorcycle,red - red,kawasaki,vn900,2007,japan,1,0.9750525894453468
11907,17092421,35,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2017,usa,1,0.9335181272849589
11908,17095437,35,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,xv1900,2006,japan,1,0.9571524809772185
11909,17096157,55,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,flhx,2012,usa,1,0.9398165560751874
11910,17096732,63,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,flhx,2019,usa,0,0.893680357652126
11911,17091012,31,h - hispanic,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2015,japan,1,0.9624949168638728
11912,17092685,28,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,fxd,2006,usa,1,0.9200688273663244
11913,17094094,46,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,yel - yellow,can-am,outlander,2019,Other,1,0.8825356191626
