person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year
37,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fld,2007
30,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,suzuki,gsx-r600,2004
21,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,yamaha,yzfr6,2017
18,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,rz500,2002
28,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdf,2009
46,b - black,1 - male,1,n - not injured,mc - motorcycle,red - red,harley-davidson,fxb,2018
39,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,yamaha,yzfr1,2007
26,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,honda,cbr600,1989
57,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,flhp,2013
18,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,kawasaki,ninja zx,2012
48,h - hispanic,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,fld,2003
34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,honda,vt700,2007
47,h - hispanic,1 - male,1,n - not injured,pm - police motorcycle,blk - black,kawasaki,zg1000,2013
28,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,xr100,2003
23,h - hispanic,2 - female,0,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,xl883,2018
41,w - white,1 - male,1,k - fatal injury,mc - motorcycle,red - red,honda,cb600,2002
66,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2016
23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ex250,2016
33,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2012
30,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,ple - purple,yamaha,yzfr1,2003
21,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,cpi motor company,unknown,2013
26,b - black,1 - male,0,k - fatal injury,mc - motorcycle,blu - blue,kawasaki,ex300,2017
46,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,mar - maroon,suzuki,gsx,1988
22,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,honda,cbr600,2008
44,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhr,2012
40,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,flhp,2006
38,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,yel - yellow,harley-davidson,xl1200,2007
20,b - black,1 - male,0,n - not injured,mc - motorcycle,blk - black,suzuki,gsx,2007
21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2017
54,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,bmw,r1100,2
40,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2016
60,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,flhp,2003
28,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blu - blue,suzuki,gsx-r1000,2005
34,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
22,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,honda,cbr600,2003
60,b - black,1 - male,0,n - not injured,mc - motorcycle,blu - blue,harley-davidson,fld,2007
56,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,2007
25,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,blu - blue,yamaha,yzfr6,2007
28,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,xvs650,2015
17,w - white,1 - male,0,n - not injured,mc - motorcycle,blu - blue,honda,cbr1000,2008
27,i - amer. indian/alaskan native,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,honda,cbr600,2005
47,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,ong - orange,kawasaki,zx600,2
33,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2016
22,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,whi - white,kawasaki,vulcan 2000,2015
45,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,flh80,2007
51,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,flhp,2016
61,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,honda,vtx1800,2002
27,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,kawasaki,ninja zx,2005
75,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,bmw,r1200,2012
59,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2004
29,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,yamaha,yzfr1,2007
65,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,bro - brown,harley-davidson,fld,2014
49,w - white,1 - male,1,b - suspected minor injury,pm - police motorcycle,whi - white,bmw,r1200,2016
33,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,ducati,monster,2013
63,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,gl1100,2003
23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,kawasaki,zg1200,2001
65,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,ong - orange,harley-davidson,fld,2017
36,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,kawasaki,zx1000,2017
41,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fltrx,2018
55,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,2016
21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdl,2017
70,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhtcutg,2017
20,w - white,1 - male,1,n - not injured,mc - motorcycle,whi - white,kawasaki,ex650,2017
57,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,fld,2017
26,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,fld,2013
22,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,kawasaki,ninja zx,2016
40,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blu - blue,honda,crf1000,2002
23,a - asian,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx750,2015
33,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2015
22,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,whi - white,harley-davidson,fld,2004
36,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,honda,vt1300,2015
27,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,suzuki,gsx,2012
23,i - amer. indian/alaskan native,1 - male,0,n - not injured,mc - motorcycle,blu - blue,suzuki,an400,2007
55,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,2008
48,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blu - blue,harley-davidson,flhr,2016
23,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2003
41,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,flhtpi,2006
24,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2016
29,w - white,1 - male,1,n - not injured,mc - motorcycle,red - red,honda,cbr600,2013
58,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr600,1999
25,b - black,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xlh883,2016
