crash_id,person_age,charge,person_ethnicity,crash_date,day_of_week,person_gender,person_helmet,driver_license_class,has_motocycle_endorsment,driver_license_state,driver_license_type,person_injury_severity,license_plate_state,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
16189632.0,37.0,operate unregistered motor vehicle,w - white,2018-01-01,monday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blu - blue,,other (explain in narrative),other (explain in narrative) (other (explain in narrative)),
16203470.0,30.0,"no class ""m"" license",h - hispanic,2018-01-04,thursday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,gry - gray,,suzuki,gsx-r600 (suzuki),2004
16192023.0,21.0,no charges,w - white,2018-01-05,friday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blu - blue,,yamaha,yzfr6 (yamaha),2017
16196720.0,18.0,no driver license no insurance,h - hispanic,2018-01-05,friday,1 - male,1 - not worn,5 - unlicensed,0,tx - texas,4 - id card,b - suspected minor injury,tx - texas,mc - motorcycle,blu - blue,,yamaha,rz500 (yamaha),2002
16189103.0,28.0,no charges,w - white,2018-01-06,saturday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,,harley-davidson,fxdf (harley-davidson),2009
16190861.0,46.0,no charges,b - black,2018-01-06,saturday,1 - male,"3 - worn, not damaged",bm - class b and m,1,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,red - red,,harley-davidson,fxb (harley-davidson),2018
16196075.0,39.0,no charges,h - hispanic,2018-01-06,saturday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blu - blue,,yamaha,unknown (yamaha),2007
16203083.0,26.0,unsafe speed (txtrc 545.351),w - white,2018-01-06,saturday,1 - male,"4 - worn, unk damage",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,whi - white,,honda,cbr600 (honda),1989
16211875.0,57.0,no charges,w - white,2018-01-06,saturday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blk - black,,harley-davidson,flhp (harley-davidson),2013
16204997.0,18.0,unsafe speed,h - hispanic,2018-01-07,sunday,1 - male,"4 - worn, unk damage",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,red - red,,kawasaki,unknown (kawasaki),2012
16978915.0,48.0,no charges,h - hispanic,2018-01-07,sunday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,blk - black,,harley-davidson,unknown (harley-davidson),2003
16189210.0,34.0,"m059955, m059955",w - white,2018-01-08,monday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blu - blue,,honda,vt700 (honda),2007
16193829.0,47.0,no charges,h - hispanic,2018-01-08,monday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,n - not injured,tx - texas,pm - police motorcycle,blk - black,,kawasaki,zg1000 (kawasaki),2013
16195165.0,28.0,no charges,h - hispanic,2018-01-08,monday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,red - red,,honda,xr100 (honda),2003
16196935.0,23.0,"turned when unsafe, no tx dl class m",h - hispanic,2018-01-08,monday,2 - female,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,whi - white,,harley-davidson,xl883 (harley-davidson),2018
16190900.0,41.0,no charges,w - white,2018-01-09,tuesday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,red - red,,honda,cb600 (honda),2002
16194513.0,66.0,no charges,w - white,2018-01-09,tuesday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,,harley-davidson,,2016
16194515.0,23.0,no charges,w - white,2018-01-09,tuesday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,,kawasaki,ex250 (kawasaki),2016
16195540.0,33.0,no charges,w - white,2018-01-09,tuesday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,,kawasaki,,2012
16198808.0,30.0,no dl (expired),w - white,2018-01-09,tuesday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,ple - purple,,yamaha,unknown (yamaha),2003
16980827.0,21.0,no charges,h - hispanic,2018-01-09,tuesday,1 - male,"4 - worn, unk damage",5 - unlicensed,0,tx - texas,4 - id card,a - suspected serious injury,tx - texas,mc - motorcycle,blk - black,,cpi motor company,unknown (cpi motor company),2013
16190950.0,26.0,no charges,b - black,2018-01-10,wednesday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,blu - blue,,kawasaki,ex300 (kawasaki),2017
16192546.0,46.0,no charges,w - white,2018-01-10,wednesday,1 - male,"2 - worn, damaged",98 - other/out of state,0,mt - montana,1 - driver license,b - suspected minor injury,mt - montana,mc - motorcycle,mar - maroon,10 - defective or no vehicle brakes,suzuki,unknown (suzuki),1988
16192883.0,22.0,no charges,w - white,2018-01-10,wednesday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,blk - black,,honda,cbr600 (honda),2008
16192893.0,44.0,no charges,w - white,2018-01-10,wednesday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,,harley-davidson,flhr (harley-davidson),2012
16193187.0,40.0,no charges,w - white,2018-01-10,wednesday,1 - male,"2 - worn, damaged",5 - unlicensed,0,,5 - unlicensed,a - suspected serious injury,,mc - motorcycle,red - red,,harley-davidson,flhp (harley-davidson),2006
16192161.0,38.0,no charges,w - white,2018-01-11,thursday,2 - female,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,yel - yellow,,harley-davidson,xl1200 (harley-davidson),2007
16193412.0,20.0,no charges,b - black,2018-01-11,thursday,1 - male,"4 - worn, unk damage",99 - unknown,0,un - unknown,99 - unknown,n - not injured,un - unknown,mc - motorcycle,blk - black,,suzuki,gsx (suzuki),2007
16196387.0,21.0,no charges,w - white,2018-01-11,thursday,1 - male,"4 - worn, unk damage",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,,kawasaki,unknown (kawasaki),2017
16196864.0,54.0,no charges,w - white,2018-01-11,thursday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,,bmw,r1100 (bmw),2000
16194597.0,40.0,no charges,h - hispanic,2018-01-12,friday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,,harley-davidson,unknown (harley-davidson),2016
16195657.0,60.0,no charges,w - white,2018-01-12,friday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blu - blue,,harley-davidson,flhp (harley-davidson),2003
16197960.0,28.0,no charges,w - white,2018-01-12,friday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,blu - blue,,suzuki,gsx-r1000 (suzuki),2005
16195826.0,34.0,no charges,w - white,2018-01-13,saturday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,,harley-davidson,unknown (harley-davidson),2005
16196920.0,22.0,unsafe speed,w - white,2018-01-13,saturday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,sil - silver,,honda,cbr600 (honda),2003
16197141.0,60.0,no charges,b - black,2018-01-13,saturday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blu - blue,,harley-davidson,unknown (harley-davidson),2007
16201468.0,56.0,no charges,b - black,2018-01-13,saturday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,red - red,,other (explain in narrative),other (explain in narrative) (other (explain in narrative)),
16202353.0,25.0,no charges,h - hispanic,2018-01-13,saturday,1 - male,"4 - worn, unk damage",98 - other/out of state,0,wa - washington,1 - driver license,n - not injured,wa - washington,mc - motorcycle,blu - blue,,yamaha,yzfr6 (yamaha),2007
16207750.0,28.0,no charges,h - hispanic,2018-01-13,saturday,1 - male,1 - not worn,a - class a,0,tx - texas,2 - commercial driver lic.,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,,yamaha,xvs650 (yamaha),2015
16195997.0,17.0,"fleeing police officer, no motorcycle endorsement",w - white,2018-01-14,sunday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blu - blue,,honda,cbr1000 (honda),2008
