,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
3323,28,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),yamaha,xvs950 (yamaha),2014.0
3324,41,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),honda,unknown (honda),1985.0
3325,25,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,12 - defective or slick tires,honda,vtx1300 (honda),2006.0
3326,25,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),yamaha,unknown (yamaha),2005.0
3327,59,h - hispanic,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fls (harley-davidson),2011.0
3328,60,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),honda,gl1800 (honda),2012.0
3329,23,b - black,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,yzfr6 (yamaha),2019.0
3330,27,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),honda,cbr600 (honda),2005.0
3331,60,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),schwartz mfg co,unknown (schwartz mfg co),2007.0
3332,43,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),suzuki,vl800 (suzuki),2014.0
3333,56,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),honda,unknown (honda),2008.0
3334,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,mul - multicolored,98 - other  (explain in narrative),honda,cbr600 (honda),2013.0
3335,33,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,fls (harley-davidson),2007.0
3336,41,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fxs (harley-davidson),2017.0
3337,39,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,98 - other  (explain in narrative),kymco usa inc,agility (kymco usa inc),2014.0
3338,25,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),honda,unknown (honda),2018.0
3339,60,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,fjr1300 (yamaha),2005.0
3340,31,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),ducati,panigale (ducati),2021.0
3341,43,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fls (harley-davidson),2013.0
3342,19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2001.0
3343,27,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2007.0
