crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year,vehicle_make_country,injury_binary
17273363,29,h - hispanic,1 - male,0,k - fatal injury,mc - motorcycle,blu - blue,yamaha,yzfr1,2,Japan,1
17273487,46,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdb,2008,USA,1
17275987,26,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,yamaha,yzfr1,2005,Japan,1
17277060,41,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,harley-davidson,fld,2013,USA,1
17280321,31,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2007,USA,1
17280519,21,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2006,USA,1
17285017,59,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,bmw,r1200,2004,Germany,1
17285167,31,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,hyosung,gd250r,2016,Other,1
17273516,18,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,honda,vtx1300,2006,Japan,1
17274581,44,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,yzfr1,2001,Japan,1
17276149,54,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xl1200,2014,USA,1
17276347,51,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,2004,USA,1
17278255,38,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,mar - maroon,harley-davidson,fld,2013,USA,1
17280705,52,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,vn900,2007,Japan,1
17280734,38,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,yamaha,yzfr6,2015,Japan,1
17280931,68,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,ong - orange,harley-davidson,xl883,2002,USA,1
17280943,51,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2018,USA,1
17283592,23,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fxs,2013,USA,1
17327149,27,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,blk - black,suzuki,gsx-r600,2002,Japan,0
17274277,44,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,harley-davidson,fld,2014,USA,1
17274939,29,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2019,USA,1
17275402,26,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2007,Japan,1
17275525,21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr600,2008,Japan,1
17276482,25,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,yel - yellow,ducati,750,2,Italy,1
17276652,40,98 - other,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,vrscr,2006,USA,1
17278576,65,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhp,2011,USA,1
17278717,23,w - white,1 - male,0,k - fatal injury,mc - motorcycle,gry - gray,yamaha,yzfr1,2013,Japan,1
17278887,20,w - white,1 - male,0,n - not injured,mc - motorcycle,tan - tan,kawasaki,en650,2016,Japan,0
17280112,19,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2019,USA,1
17286915,68,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,grn - green,harley-davidson,fld,1998,USA,1
17287165,26,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,suzuki,m50,2002,Japan,1
17278330,49,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhtcui,1997,USA,1
17279885,59,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,1999,USA,1
17280103,49,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,sil - silver,yamaha,yw50,2015,Japan,1
17280235,49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,harley-davidson,flstf,2009,USA,1
17283070,23,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,2007,USA,1
17283612,35,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,suzuki,gsx,2003,Japan,1
17284684,32,98 - other,1 - male,1,b - suspected minor injury,mc - motorcycle,grn - green,kawasaki,zx1000,2011,Japan,1
17286674,26,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,ctx700,2018,Japan,1
17286932,54,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fls,2008,USA,1
17287592,63,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2005,Japan,1
17410414,29,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,xv250,2007,Japan,1
17342287,32,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,whi - white,triumph motorcycle,daytona 675r,2008,Other,0
17329284,35,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,2002,USA,1
17331615,31,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx-r600,2001,Japan,1
17331809,68,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fxdwg,1999,USA,1
17337461,24,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,honda,cbr600,2007,Japan,1
17336471,40,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxdwg,2011,USA,1
17334498,25,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,genuine scooter co.,buddy,2006,Other,1
17406638,40,w - white,2 - female,0,n - not injured,mc - motorcycle,blk - black,honda,cbr600,2007,Japan,0
17347722,42,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxd,2012,USA,1
